song_id,candidate_a_id,candidate_b_id,a_keep_ratio,b_keep_ratio,preference,strength,reasoning
song_000,temp_0.10,temp_0.30,0.91,0.64,b,1,
song_000,temp_0.10,temp_0.50,0.91,0.43,b,1,
song_000,temp_0.10,temp_0.70,0.91,0.28,b,1,
song_000,temp_0.10,temp_0.90,0.91,0.06,b,3,
song_000,temp_0.30,temp_0.50,0.64,0.43,b,1,
song_000,temp_0.30,temp_0.70,0.64,0.28,b,1,
song_000,temp_0.30,temp_0.90,0.64,0.06,b,2,
song_000,temp_0.50,temp_0.70,0.43,0.28,b,1,
song_000,temp_0.50,temp_0.90,0.43,0.06,b,2,
song_000,temp_0.70,temp_0.90,0.28,0.06,b,1,
song_001,temp_0.10,temp_0.30,0.96,0.76,a,1,
song_001,temp_0.10,temp_0.50,0.96,0.48,a,1,
song_001,temp_0.10,temp_0.70,0.96,0.24,b,2,
song_001,temp_0.10,temp_0.90,0.96,0.16,b,3,
song_001,temp_0.30,temp_0.50,0.76,0.48,tie,1,
song_001,temp_0.30,temp_0.70,0.76,0.24,b,1,
song_001,temp_0.30,temp_0.90,0.76,0.16,b,3,
song_001,temp_0.50,temp_0.70,0.48,0.24,tie,1,
song_001,temp_0.50,temp_0.90,0.48,0.16,b,3,
song_001,temp_0.70,temp_0.90,0.24,0.16,b,3,
song_002,temp_0.10,temp_0.30,0.88,0.75,a,1,
song_002,temp_0.10,temp_0.50,0.88,0.5,a,1,
song_002,temp_0.10,temp_0.70,0.88,0.34,b,2,
song_002,temp_0.10,temp_0.90,0.88,0.09,a,1,
song_002,temp_0.30,temp_0.50,0.75,0.5,b,2,
song_002,temp_0.30,temp_0.70,0.75,0.34,b,2,
song_002,temp_0.30,temp_0.90,0.75,0.09,b,2,
song_002,temp_0.50,temp_0.70,0.5,0.34,b,3,
song_002,temp_0.50,temp_0.90,0.5,0.09,b,3,
song_002,temp_0.70,temp_0.90,0.34,0.09,tie,1,
song_003,temp_0.10,temp_0.30,0.92,0.69,a,1,
song_003,temp_0.10,temp_0.50,0.92,0.5,b,1,
song_003,temp_0.10,temp_0.70,0.92,0.15,b,2,
song_003,temp_0.10,temp_0.90,0.92,0.04,b,3,
song_003,temp_0.30,temp_0.50,0.69,0.5,tie,1,
song_003,temp_0.30,temp_0.70,0.69,0.15,tie,1,
song_003,temp_0.30,temp_0.90,0.69,0.04,b,2,
song_003,temp_0.50,temp_0.70,0.5,0.15,tie,1,
song_003,temp_0.50,temp_0.90,0.5,0.04,b,2,
song_003,temp_0.70,temp_0.90,0.15,0.04,b,1,
song_004,temp_0.10,temp_0.30,0.94,0.73,tie,1,
song_004,temp_0.10,temp_0.50,0.94,0.53,b,2,
song_004,temp_0.10,temp_0.70,0.94,0.22,tie,1,
song_004,temp_0.10,temp_0.90,0.94,0.08,tie,1,
song_004,temp_0.30,temp_0.50,0.73,0.53,b,2,
song_004,temp_0.30,temp_0.70,0.73,0.22,a,1,
song_004,temp_0.30,temp_0.90,0.73,0.08,a,1,
song_004,temp_0.50,temp_0.70,0.53,0.22,b,2,
song_004,temp_0.50,temp_0.90,0.53,0.08,b,2,
song_004,temp_0.70,temp_0.90,0.22,0.08,a,1,
