song_id,candidate_a_id,candidate_b_id,candidate_a_temp,candidate_b_temp,preference,strength
20251128LOOP3,temp_0.1,temp_0.3,0.1,0.3,b,1
20251128LOOP3,temp_0.1,temp_0.5,0.1,0.5,a,2
20251128LOOP3,temp_0.1,temp_0.7,0.1,0.7,a,2
20251128LOOP3,temp_0.1,temp_0.9,0.1,0.9,a,2
20251128LOOP3,temp_0.3,temp_0.5,0.3,0.5,a,2
20251128LOOP3,temp_0.3,temp_0.7,0.3,0.7,a,3
20251128LOOP3,temp_0.3,temp_0.9,0.3,0.9,a,3
20251128LOOP3,temp_0.5,temp_0.7,0.5,0.7,tie,1
20251128LOOP3,temp_0.5,temp_0.9,0.5,0.9,tie,1
20251128LOOP3,temp_0.7,temp_0.9,0.7,0.9,tie,1
2025_11_07_17_52_20_1-P3,temp_0.1,temp_0.3,0.1,0.3,a,1
2025_11_07_17_52_20_1-P3,temp_0.1,temp_0.5,0.1,0.5,a,5
2025_11_07_17_52_20_1-P3,temp_0.1,temp_0.7,0.1,0.7,a,5
2025_11_07_17_52_20_1-P3,temp_0.1,temp_0.9,0.1,0.9,a,8
2025_11_07_17_52_20_1-P3,temp_0.3,temp_0.5,0.3,0.5,a,1
2025_11_07_17_52_20_1-P3,temp_0.3,temp_0.7,0.3,0.7,a,5
2025_11_07_17_52_20_1-P3,temp_0.3,temp_0.9,0.3,0.9,a,8
2025_11_07_17_52_20_1-P3,temp_0.5,temp_0.7,0.5,0.7,tie,1
2025_11_07_17_52_20_1-P3,temp_0.5,temp_0.9,0.5,0.9,a,5
2025_11_07_17_52_20_1-P3,temp_0.7,temp_0.9,0.7,0.9,tie,1
2025_12_03_20_27_35_1,temp_0.1,temp_0.3,0.1,0.3,b,5
2025_12_03_20_27_35_1,temp_0.1,temp_0.5,0.1,0.5,a,1
2025_12_03_20_27_35_1,temp_0.1,temp_0.7,0.1,0.7,a,1
2025_12_03_20_27_35_1,temp_0.1,temp_0.9,0.1,0.9,a,1
2025_12_03_20_27_35_1,temp_0.3,temp_0.5,0.3,0.5,a,3
2025_12_03_20_27_35_1,temp_0.3,temp_0.7,0.3,0.7,a,5
2025_12_03_20_27_35_1,temp_0.3,temp_0.9,0.3,0.9,a,7
2025_12_03_20_27_35_1,temp_0.5,temp_0.7,0.5,0.7,tie,2
2025_12_03_20_27_35_1,temp_0.5,temp_0.9,0.5,0.9,a,1
2025_12_03_20_27_35_1,temp_0.7,temp_0.9,0.7,0.9,a,2
2025_12_04_17_51_26_1,temp_0.1,temp_0.3,0.1,0.3,tie,2
2025_12_04_17_51_26_1,temp_0.1,temp_0.5,0.1,0.5,b,5
2025_12_04_17_51_26_1,temp_0.1,temp_0.7,0.1,0.7,a,1
2025_12_04_17_51_26_1,temp_0.1,temp_0.9,0.1,0.9,a,1
2025_12_04_17_51_26_1,temp_0.3,temp_0.5,0.3,0.5,tie,5
2025_12_04_17_51_26_1,temp_0.3,temp_0.7,0.3,0.7,a,3
2025_12_04_17_51_26_1,temp_0.3,temp_0.9,0.3,0.9,a,3
2025_12_04_17_51_26_1,temp_0.5,temp_0.7,0.5,0.7,a,5
2025_12_04_17_51_26_1,temp_0.5,temp_0.9,0.5,0.9,a,5
2025_12_04_17_51_26_1,temp_0.7,temp_0.9,0.7,0.9,tie,1
2025_12_04_19_47_23_1,temp_0.1,temp_0.3,0.1,0.3,a,5
2025_12_04_19_47_23_1,temp_0.1,temp_0.5,0.1,0.5,a,7
2025_12_04_19_47_23_1,temp_0.1,temp_0.7,0.1,0.7,a,8
2025_12_04_19_47_23_1,temp_0.1,temp_0.9,0.1,0.9,a,9
2025_12_04_19_47_23_1,temp_0.3,temp_0.5,0.3,0.5,a,3
2025_12_04_19_47_23_1,temp_0.3,temp_0.7,0.3,0.7,a,4
2025_12_04_19_47_23_1,temp_0.3,temp_0.9,0.3,0.9,a,5
2025_12_04_19_47_23_1,temp_0.5,temp_0.7,0.5,0.7,tie,2
2025_12_04_19_47_23_1,temp_0.5,temp_0.9,0.5,0.9,tie,2
2025_12_04_19_47_23_1,temp_0.7,temp_0.9,0.7,0.9,tie,2
remixatrion_hmmm,temp_0.1,temp_0.3,0.1,0.3,a,9
remixatrion_hmmm,temp_0.1,temp_0.5,0.1,0.5,a,9
remixatrion_hmmm,temp_0.1,temp_0.7,0.1,0.7,a,9
remixatrion_hmmm,temp_0.1,temp_0.9,0.1,0.9,a,9
remixatrion_hmmm,temp_0.3,temp_0.5,0.3,0.5,tie,3
remixatrion_hmmm,temp_0.3,temp_0.7,0.3,0.7,tie,3
remixatrion_hmmm,temp_0.3,temp_0.9,0.3,0.9,tie,3
remixatrion_hmmm,temp_0.5,temp_0.7,0.5,0.7,tie,3
remixatrion_hmmm,temp_0.5,temp_0.9,0.5,0.9,tie,3
remixatrion_hmmm,temp_0.7,temp_0.9,0.7,0.9,tie,3
walkerjam,temp_0.1,temp_0.3,0.1,0.3,tie,5
walkerjam,temp_0.1,temp_0.5,0.1,0.5,a,7
walkerjam,temp_0.1,temp_0.7,0.1,0.7,a,8
walkerjam,temp_0.1,temp_0.9,0.1,0.9,a,9
walkerjam,temp_0.3,temp_0.5,0.3,0.5,a,3
walkerjam,temp_0.3,temp_0.7,0.3,0.7,a,3
walkerjam,temp_0.3,temp_0.9,0.3,0.9,a,3
walkerjam,temp_0.5,temp_0.7,0.5,0.7,a,1
walkerjam,temp_0.5,temp_0.9,0.5,0.9,a,1
walkerjam,temp_0.7,temp_0.9,0.7,0.9,a,1
